,name,date,NOX,Pre-Shelter in place mean,Post-Shelter in place mean
457,Oakland-West,2020-02-29,0.0062105263157894745,0.01818764397517645,
458,Oakland-Laney College                   ,2020-02-29,0.015510000000000001,0.01818764397517645,
459,Sebastopol-103 Morris Street            ,2020-02-29,0.0041739130434782605,0.01818764397517645,
460,San Jose-Knox Avenue                    ,2020-02-29,0.013485,0.01818764397517645,
461,Berkeley-Aquatic Park                   ,2020-02-29,0.015343478260869563,0.01818764397517645,
462,Napa-Valley College,2020-02-29,0.0038565217391304356,0.01818764397517645,
463,Pleasanton-Owens Ct                     ,2020-02-29,0.006430434782608697,0.01818764397517645,
464,Redwood City,2020-03-01,0.0035000000000000005,0.01818764397517645,
465,San Francisco-Arkansas Street,2020-03-01,0.007769565217391303,0.01818764397517645,
466,Vallejo-304 Tuolumne Street,2020-03-01,0.00422608695652174,0.01818764397517645,
467,San Rafael,2020-03-01,0.004843478260869565,0.01818764397517645,
468,Concord-2956-A Treat Blvd,2020-03-01,0.003469565217391304,0.01818764397517645,
469,Oakland-9925 International Blvd,2020-03-01,0.006708695652173913,0.01818764397517645,
470,Livermore-793 Rincon Avenue,2020-03-01,0.0024304347826086957,0.01818764397517645,
471,San Jose-Jackson Street,2020-03-01,0.006772727272727274,0.01818764397517645,
472,San Pablo-Rumrill Blvd,2020-03-01,0.004326086956521739,0.01818764397517645,
473,Oakland-West,2020-03-01,0.0055608695652173915,0.01818764397517645,
474,Oakland-Laney College                   ,2020-03-01,0.00792608695652174,0.01818764397517645,
475,Sebastopol-103 Morris Street            ,2020-03-01,0.0028869565217391293,0.01818764397517645,
476,San Jose-Knox Avenue                    ,2020-03-01,0.011169565217391306,0.01818764397517645,
477,Berkeley-Aquatic Park                   ,2020-03-01,0.009295652173913043,0.01818764397517645,
478,Napa-Valley College,2020-03-01,0.003052173913043478,0.01818764397517645,
479,Pleasanton-Owens Ct                     ,2020-03-01,0.009695652173913044,0.01818764397517645,
480,Redwood City,2020-03-02,0.007950000000000002,0.01818764397517645,
481,San Francisco-Arkansas Street,2020-03-02,0.011156521739130435,0.01818764397517645,
482,Vallejo-304 Tuolumne Street,2020-03-02,0.006430434782608696,0.01818764397517645,
483,San Rafael,2020-03-02,0.007882608695652174,0.01818764397517645,
484,Concord-2956-A Treat Blvd,2020-03-02,0.00861304347826087,0.01818764397517645,
485,Oakland-9925 International Blvd,2020-03-02,0.009685714285714285,0.01818764397517645,
486,Livermore-793 Rincon Avenue,2020-03-02,0.00388695652173913,0.01818764397517645,
487,San Jose-Jackson Street,2020-03-02,0.008172727272727274,0.01818764397517645,
488,San Pablo-Rumrill Blvd,2020-03-02,0.003960869565217392,0.01818764397517645,
